Continent,Country,Region,State,Name of VC,Year of Establishment,Type of Investor,Website,Postal Address,Pincode,LinkedIn Details,Phone Details,Email Address,,Subvertical Industry,Investment Stage,Investment Amount Minimum,Investment Amount Maximum,Previously Invested Total Amount,Total number of companies funded so far,Latitude,Longitude,Code 
north america,usa,west,california,medventure associates,1986,private equity firm,http://www.medven.com/,"po box 726
 lincoln, ca 95648
 united states",95648,NaN,(+1) 510-597-7979,medven@medven.com,,healthcare equipment and services,early stage,500000,49000000,493400000,44,36.778259,-119.417931,ca
north america,usa,west,california,menlo capital group,1997,private equity firm,http://menlocap.com/,"345 california st
 san francisco
 south san francisco, ca 94080
 united states",94080,NaN,NaN,akhil.suri@menlocap.com,,real estate,NaN,NaN,NaN,NaN,NaN,36.778259,-119.417931,ca
north america,usa,west,california,menlo incubator,2010,private firm,www.menloincubator.com,menlo college 1000 el camino real atherton ca 94027,94027,https://www.linkedin.com/company/menlo-incubator-llc/,(+1)650-543-4007,info@menloincubator.com,,"technology,web based company",startups,900000,900000,900000,1,36.778259,-119.417931,ca
north america,usa,west,california,menlo ventures,1976,private firm,https://www.menlovc.com,"2884 sand hill road suite 100
menlo park,ca",94025,https://www.menlovc.com,(+1) 650-854-8540,"marketing@men
lovc.com",,"information,technology","debt, early stage venture,
 late stage venture, 
private equity, 
seed",5000000,60000000,1570000000,525,36.778259,-119.417931,ca
north america,usa,west,california,meritech capital partner,1999,private firm,http://www.meritechcapital.com/,245 lytton avenue suite 125 palo alto ca 94301,94301,https://www.linkedin.com/company/meritech-capital-partners/,(+1)650-475-2200,info@meritechcapital.com,,NaN,later stage,4500000,1800000000,3610000000,219,36.778259,-119.417931,ca
north america,usa,west,california,meritech capital partners,1999,private equity firm,http://www.meritechcapital.com/,"245 lytton avenue
 suite 125
 palo alto, ca 94301
 united states",94301,NaN,(+1)650-475-2200,info@meritechcapital.com,,"consumer internet,media,enterprise infrastructure,storage,medical devices,communication,software service industries",late/mature stage,4500000,1800000000,NaN,219,36.778259,-119.417931,ca
north america,usa,west,california,mhs capital,2006,private firm,http://www.mhscapital.com/,333 bush street suite 2250 ca 94104,94104,https://www.linkedin.com/company/mhs-capital/,NaN,info@mhscapital.com,,NaN,"early stage,late stage",250000,52500000,NaN,46,36.778259,-119.417931,ca
north america,united states of america,west,california,microsoft corporation,1975,private firm,http://www.microsoft.com/,"one microsoft way
 redmond, wa 98052
 united states",98052,https://www.linkedin.com/company/microsoft,(+1) 425-882-8080,NaN,,NaN,late stage venture,NaN,NaN,NaN,1,36.778259,-119.417931,ca
north america,usa,west,california,mission bay capital llc,2009,private firm,https://www.missionbaycapital.com,953 indiana street san francisco,94107,https://www.linkedin.com/company/mission-bay-capital/,(+1) 415-347-8287,info@missionbaycapital.com,,"biotechnology,life sciences,seed stage investing",early stage venture,300000,62000000,NaN,28,36.778259,-119.417931,ca
north america,united states of america,west,california,mission ventures,1996,private firm,http://www.missionventures.com/,"3570 carmel mountain road
 suite 200
 san diego, ca 92130
 united states",92130,NaN,(+1) 858-350-2100,info@missionventures.com,,technologydriven services,"early stage venture, late stage venture",2000000,10000000,NaN,100,36.778259,-119.417931,ca
north america,united states of america,north east,california,mitsui global investment,2001,venture capital,http://www.mitsui-global.com/en/,"535 middlefield road
 suite 100
 menlo park, ca 94025
 united states",94025,"??tokyo
 https://www.linkedin.com/company/mitsui-&-co-global-investment-ltd-/",650-234-5000,mgicontactsjfvz@mitsui.com,,"health care,information technology,software","early stage venture, late stage venture",1300000,75000000,NaN,135,36.778259,-119.417931,ca
north america,usa,west,california,mohr davidow ventures,1983,venture capital,http://www.mdv.com/,"777 mariners island blvd
 suite 550
 san mateo, ca 94404
 united states",94404,http://www.linkedin.com/company/mdv,(+1)650-854-7236,info@mdv.com,,"information technology,life science,pharmaceutical,financial,advertising,software,healthcare sectors",all,1000000,70000000,NaN,290,36.778259,-119.417931,ca
north america,united states of america,west,california,montreux equity partners,1993,private firm,http://www.montreuxequity.com/,"one ferry building
 suite 255
 san francisco, ca 94111
 united states",94111,https://www.linkedin.com/company/montreux-equity-partners/,(+1) 650-234-1200,info@mepvc.com,,"life science and healthcare sectors,pharmaceutical/biopharmaceutical,biotechnology,medical device",late stage venture,2000000,50000000,74400000,70,36.778259,-119.417931,ca
north america,united states of america,west,california,morgan stanley venture partners,1935,private firm,http://www.morganstanley.com/institutional/venturepartners/,"1585 broadway
 38th floor
 new york, ny 10036
 united states",10036,https://www.linkedin.com/company/morgan-stanley,(+1) 212-761-8753,mediainquiries@morganstanley.com,,"communications products and software,infrastructure","early stage venture, late stage venture",5000000,30000000,NaN,24,36.778259,-119.417931,ca
north america,united states of america,west,california,morgenthaler,1968,private firm,http://www.morgenthaler.com/,"3200 alpine road
 portola valley, ca 94028
 united states",94028,NaN,(+1) 650-388-3676,NaN,,"internet software and services,consumer software and services,mobile computing","early stage venture, late stage venture",5000000,50000000,1300000000,278,36.778259,-119.417931,ca
north america,usa,west,california,"morgenthaler
 ventures",1968,private firm,morgenthaler.com,"3200 alphine road,ca",94028,https://www.linkedin.com/company/morgenthaler/,(+1) 650-388-7600,NaN,,"technology,life science","debt, early stage venture,
 late stage venture, 
private equity, 
seed",30000000,400000000,3000000000,278,36.778259,-119.417931,ca
north america,united states of america,west,california,mpm capital,1996,private firm,http://www.mpmcapital.com/,"450 kendall street
 cambridge, ma 02142
 united states",2142,https://www.linkedin.com/company/mpm-capital/,(+1) 617-425-9200,info@mpmcapital.com,,"biotechnology,healthcare,life sciences","early stage venture, late stage venture",5000000,50000000,3200000000,192,36.778259,-119.417931,ca
north america,united states of america,west,california,needham capital partners,1994,private firm,http://www.needhamcapital.com/,"250 park avenue, third floor
 new york, ny 10177
 united states",10177,NaN,(+1) 212-371-8300,kmumma@needhamco.com,,healthcare,"early stage venture, late stage venture",2000000,8000000,NaN,35,36.778259,-119.417931,ca
north america,usa,west,california,"neocarta ventures, inc.",,private equity firm,http://www.neocarta.com/,"204 east 2nd avenue
 suite 428
 san mateo, ca 94401
 united states",94401,NaN,(+1)650-461-3550,info@neocarta.com,,"technology infrastructure,software,hardware,networking,",early stage,245000,57000000,NaN,56,36.778259,-119.417931,ca
north america,usa,west,california,neotribe ventures,,venture capital,https://www.neotribe.vc/,"3340 hillview avenue
 palo alto, ca 94304
 united states",94304,NaN,(+1)786-505-4888,NaN,,NaN,early stage,1000000,8000000,13600000,5,36.778259,-119.417931,ca
north america,usa,west,california,"new enterprise 
associates, inc.
",1977,private firm,http://www.nea.com,"2855 sand hill road,menlo 
park,ca",94025,https://www.linkedin.com/company/new-enterprise-associates/,(+1) 650- 854-9499,NaN,,biotech,"debt, early stage venture,
 late stage venture,
 post-ipo,
 private equity
, seed",2000000,234000000,NaN,1434,36.778259,-119.417931,ca
north america,united states of america,west,california,new enterprise associates,1977,private,http://nea.com/,"
2855 sand hill road
menlo park, ca 94025
",94025,https://in.linkedin.com/company/new-enterprise-associates,(+1) 650-854-9499,kbarrett@nea.com,,"biotechnology,consumer,energy,health care,medical device,pharmaceutical,saas","crowd funding, private equity",75000,1200000000,39700000000,1444,36.778259,-119.417931,ca
north america,usa,west,california,new millenium partners,,private equity firm,http://www.nmpartners.com/,"po box 216
 
 mount shasta, ca 96067
 
 united states",96067,NaN,(+1)415-646-8666,NaN,,internet,early stage,300000,17000000,50500000,8,36.778259,-119.417931,ca
north america,united states of america,west,california,new millennium partners,,NaN,http://www.nmpartners.com/,"po box 216
 mount shasta, ca 96067
 united states",96067,NaN,NaN,NaN,,internet companies,early stage venture,NaN,NaN,NaN,8,36.778259,-119.417931,ca
north america,usa,west,california,newgen capital(fusion fund),2014,private equity firm,http://fusionfund.com/,"624 university avenue
 palo alto, ca 94301
 united states",94301,https://www.linkedin.com/company/fusion-fund/,NaN,partners@fusionfund.com,,"mobile technology,consumer internet,digital health,life science",early stage,500000,7000000,44940000,45,36.778259,-119.417931,ca
north america,usa,west,california,newschools venture fund,2016,venture capital,http://newschools.org/,"49 stevenson street
 suite 575
 san francisco, ca 94105
 
 united states",94105,http://www.linkedin.com/company/27508,(+1) 415-615-6860,info@newschools.org,,"education technology tools,applications content,services",all,1000000,4000000,NaN,61,36.778259,-119.417931,ca
north america,united states of america,west,california,newton technology partners,1999,private firm,NaN,NaN,NaN,NaN,(+1) 822 6410 6100,NaN,,information technology sector,NaN,NaN,NaN,NaN,3,36.778259,-119.417931,ca
north america,united states of america,west,california,ngen partners l.l.c,2001,private firm,http://www.ngenpartners.com/,"1114 state street
 suite 247
 santa barbara, ca united states",93101,https://www.linkedin.com/company/ngen-partners/,(+1) 805-564-3156,NaN,,"energy technologies,alternative energy,health","early stage venture, late stage venture",2000000,25000000,470000000,58,36.778259,-119.417931,ca
north america,united states of america,west,california,"nif ventures usa, inc.",2012,NaN,http://www.nifusa.com/,"1906 el camino real
 suite 201
 menlo park, ca 94027
 united states",94027,NaN,(+1) 213-438-9926,NaN,,financial services,"early stage venture, late stage venture",NaN,NaN,NaN,38,36.778259,-119.417931,ca
north america,united states of america,west,california,norwest venture partners,1961,private,http://www.nvp.com/,"525 university avenue
suite 800
palo alto, ca 94301
 ",94301,https://in.linkedin.com/company/norwest-venture-partners,(+1) 650-321-8000,businessplan@nvp.com,,"communication,networking,computer hardware,software","seed , startups, early stage, later/mature stage",400000,350000000,11490000000,547,36.778259,-119.417931,ca
north america,usa,west,california,noventi ventures,2002,private equity firm,http://www.noventi.net/,"8100 jarvis avenue
 suite 110
 newark, ca 94560
 united states",94560,NaN,(+1)650-325-6699,info@noventivc.com,,"wireless applications,video over ip,enterprise software and security,cleantech sectors",early stage,500000,22000000,300000000,21,36.778259,-119.417931,ca
north america,usa,west,california,novus ventures,1994,venture capital,http://www.novusventures.com/,"20111 stevens creek blvd
 suite 130
 cupertino, ca 95014
 united states",95014,NaN,(+1)408-252-3900,info@novusventures.com,,"enterprise software and infrastructure,applications,networks,systems technology,semiconductors",early stage,1400000,30000000,356400000,32,36.778259,-119.417931,ca
north america,usa,west,california,nth power,1997,private equity firm,http://www.nthpower.com/,"555 mission street
 suite 3300
 san francisco, ca 94105
 united states",94105,https://www.linkedin.com/company/nth-power-llc,(+1)415-983-9983,info@nthpower.com,,"energy technology,materials",NaN,400000,53000000,NaN,61,36.778259,-119.417931,ca
north america,united states of america,west,california,odyssey venture partners,,venture capital,http://www.2odyssey.com/,NaN,NaN,NaN,NaN,info@odysseyvp.com,,NaN,"early stage venture, seed",NaN,NaN,NaN,14,36.778259,-119.417931,ca
north america,united states of america,west,california,"omron advanced systems, inc.",,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,36.778259,-119.417931,ca
north america,usa,NaN,california,onset ventures,1984,private firm,http://onset.com/,2400 sand hill road suite 150 menlo park ca 94025,94025,https://www.linkedin.com/company/onset-ventures/,(+1)650-529-0700,mp@onset.com,,NaN,early stage,1000000,150000000,2300000000,130,36.778259,-119.417931,ca
north america,usa,west,california,onset ventures llc,1984,private equity firm,http://www.onset.com/,"2400 sand hill road
 suite 150
 menlo park, ca 94025
 united states",94025,https://www.linkedin.com/company/onset-ventures,(+1)650-529-0700,mp@onset.com,,"information technology,medical technology","early, late stage",850000,50000000,NaN,130,36.778259,-119.417931,ca
north america,united states of america,west,california,opportunity capital partners,1970,private firm,http://www.opportunitycapitalpartners.com/,"2201 walnut avenue
 suite 210
 fremont, ca 94538
 united states",94538,NaN,(+1) 384-503-4496,helpdesk@opportunitycapitalpartners.com,,"telecommunication,information technology,healthcare sector",NaN,2000000,10000000,NaN,8,36.778259,-119.417931,ca
north america,united states of america,west,california,opus capital,2005,private,http://www.opuscapitalventures.com/,"3500 lenox road ne
one alliance center
suite 1500
atlanta, ga 30326",30326,https://in.linkedin.com/company/opus-capital,(+1) 404-596-5500,contact@opuscapital.com,,"enterprise application software,enterprise infrastructure,internet,semiconductors,wireless","startups, seed , early stage",900000,58000000,1000000000,81,36.778259,-119.417931,ca
north america,usa,west,california,osprey ventures lp,,private equity firm,http://www.ospreyventures.com/,"2201 walnut avenue
 suite 210
 fremont, ca 94538
 
 united states",94538,NaN,(+1)510-795-7000,admin@ospreyventures.com,,"telecommunications,information technology,",early stage,4000000,20000000,74500000,13,36.778259,-119.417931,ca
north america,usa,west,california,outlook venture,1996,private firm,www.outlookventures.com,"alamo, california",NaN,https://www.linkedin.com/in/randyhaykin/,NaN,info@outlookventures.com,,information technology companies,"early stage venture,
 late stage venture",2800000,80000000,256900000,28,36.778259,-119.417931,ca
north america,usa,west,california,outlook ventures,1996,private equity firm,http://www.outlookventures.com/,"3000f danville blvd
 suite 110
 alamo, ca 94507
 united states",94507,NaN,(+1)415-547-0000,info@outlookventures.com,,"software infrastructure,applications,emerging information technology sectors","early, growth stage",2800000,80000000,256900000,28,36.778259,-119.417931,ca
north america,united states of america,west,california,oxford bioscience partners,1991,private firm,http://www.oxbio.com/,"p.o. box 207, 12 giles place
 mansfield, ma 02048
 united states",2048,NaN,(+1) 617-357-7474,bizplan@oxbio.com,,"life sciences,energy,healthcare sectors,technology,medical devices","early stage venture, late stage venture",1000000,10000000,66000000,104,36.778259,-119.417931,ca
north america,usa,west,california,pacifica fund,,private equity firm,http://www.pacificafund.com/,"5150 el camino real
 suite a-32
 los altos, ca 94022
 united states",94022,NaN,(+1)650-318-0063,info07@pacificafund.com,,"emerging information technology,energy,materials companies","early, late stage",4000000,40000000,150000000,10,36.778259,-119.417931,ca
north america,usa,west,california,pacrim venture partners,1999,private equity firm,http://www.pacrimpartners.com/,"605 cowper street
 palo alto, ca 94301
 united states",94301,NaN,(+ 1)650-330-0880,info@pacrimpartners.com,,information technology,early stage,300000,35000000,136000000,14,36.778259,-119.417931,ca
north america,usa,west,california,palo alto ventures,1996,private equity firm,http://www.pavp.com/,"300 hamilton avenue
 4th floor
 palo alto, ca 94301
 united states",94301,NaN,(+1) 650-462-1221,pziebelman@pavp.com,,information technology,early stage,4000000,20000000,48000000,6,36.778259,-119.417931,ca
north america,usa,west,california,paloma ventures,1999,venture capital,http://www.palomarventures.com/,"27702 crown valley parkway
 suite d4-239
 ladera, ca 92694
 
 united states",92694,NaN,(+1)949-475-9455,NaN,,"infrastructure software,semiconductors,networking telecom infrastructure,",all,4000000,NaN,35000000,92,36.778259,-119.417931,ca
north america,usa,west,california,palomar ventures,1999,venture capital,www.palomarventures.com,"27702 crown valley parkway,ste d4-239,ladera, 
ca 92694",92694,https://in.linkedin.com/company/palomar-ventures,(+1) 949-475-9455,NaN,,"information technology,infrastructure software,semiconductors,networking telecom infrastructure telecom/datacom,consumer,wireless solutions,security initiatives","early stage
late stage
debt",2000000,10000000,NaN,92,36.778259,-119.417931,ca
north america,usa,west,california,panasonic ventures,1998,private firm,https://panasonicventures.com,10900 north tantau avenue suite 200 cupertina ca 95014,95014,https://www.linkedin.com/company/panasonic-usa?trk=ppro_cprof,(+1)408-861-3900,patrick.suel@us.panasonic.com,,"electrical consumer,b2b,telecommunications,research",early stage,1000000,42000000,267000000,15,36.778259,-119.417931,ca
north america,usa,west,california,"parker price venture capital, inc.",,venture capital,http://www.parkerpricevc.com/,"101 california street
 suite 2830
 san francisco, ca 94111
 united states",94111,NaN,(+1)415-617-6220,info@parkerpricevc.com,,"information technology,financial service",early stage,2000000,39000000,213000000,14,36.778259,-119.417931,ca
north america,usa,west,california,paul capital,1991,secondary purchaser,http://www.paulcap.com/,"575 market street
suite 2500
san francisco, ca 94105
united states",94105,https://www.linkedin.com/company/paul-capital-partners/?originalsubdomain=in,(+1) 415-283-4300,"
investorservices@paulcap.com",,"information technology,healthcare,cleantech sectors",late/mature stage,NaN,NaN,6600000000,10,36.778259,-119.417931,ca
north america,usa,west,california,paul capital partners,1991,venture capital,www.paulcap.com,"575 market street
 suite 2500
 san francisco, ca 94105
 united states",94105,NaN,(+1)415-283-4300,NaN,,financial services,NaN,NaN,NaN,NaN,NaN,36.778259,-119.417931,ca
north america,usa,west,california,peninsula equity partners,2001,private equity firm,http://www.peninsulaventures.com/,"3000 sand hill road
 building 2, suite 100
 menlo park, ca 94025
 united states",94025,https://www.linkedin.com/in/gregennis10,(+1)650-854-0314,info@peninsulaventures.com,,"software,infrastructure,services,healthcare it sectors",early stage,1500000,50000000,340200000,41,36.778259,-119.417931,ca
north america,usa,west,california,peninsula ventures,2001,private firm,http://www.peninsulaventures.com/,1500 fashion island blvd 102 san mateo ca 94404,94404,https://www.linkedin.com/company/peninsula-ventures/,(+1)650-854-0314,info@peninsulaventures.com,,"technology,software,security,cloud computing","early stage,late stage",1500000,50000000,780000000,41,36.778259,-119.417931,ca
north america,usa,west,california,physic ventures,2006,private equity firm,http://www.physicventures.com/,"548 market street
 suite 70998
 san francisco, ca 94104
 united states",94104,http://www.linkedin.com/company/physic-ventures,(+1)415-354-4901,wbrose@ideagarden.com,,"technology,healthcare",early stage,900000,26000000,248500000,27,36.778259,-119.417931,ca
north america,usa,west,california,pinnacle ventures,2002,venture capital,http://www.pinnacleven.com/,"1600 el camino real
 suite 250
 menlo park, ca 94025
 united states",94025,NaN,(+1)650-926-7800,info@pinnacleventures.com,,debt and equity financing,all,1500000,150000000,NaN,75,36.778259,-119.417931,ca
north america,united states of america,west,california,pitango venture capital,1993,private firm,http://www.pitango.com/,"11 hamenofim street
 building b
 herzliya, 4672562
 israel",4672562,https://www.linkedin.com/company/pitango-venture-capital/,(+1) 9729-971-8100,mail@pitango.com,,life sciences,"early stage venture, late stage venture",500000,25000000,2000000000,242,36.778259,-119.417931,ca
north america,usa,west,california,playground global,2014,venture capital,http://playground.global/,"380 portage avenue
 palo alto, ca 94306
 united states",94306,https://www.linkedin.com/company/playground-global/,(+1) 650-427-0000,info@playground.global,,"inancial planning,portfolio management,pension consulting,publication of periodicals,market timing",early stage,2200000,121800000,329200000,31,36.778259,-119.417931,ca
north america,usa,west,california,plug and play ventures,2006,venture capital,http://www.plugandplaytechcenter.com/,"440 north wolfe road
 sunnyvale, ca 94085
 united states",94085,https://www.linkedin.com/company/plug-and-play-tech-center,(+1)408-524-1400,investment@plugandplaytechcenter.com,,"data center,insurance,health,travel,hospitality",seed and early stage,30000,5000000,NaN,693,36.778259,-119.417931,ca
north america,usa,west,california,pond venture partners,,private equity firm,http://www.pondventures.com/,"2033 gateway place
 suite 600
 san jose, ca 95110
 united states",95110,NaN,(+1)408-467-3806,info@pondventures.com,,"management buyouts,acquisitions,mergers,recapitalizations,restructuring,","early, seed, late stage",1000000,27000000,240280000,35,36.778259,-119.417931,ca
north america,united states of america,west,california,posco bioventures,2002,private firm,http://www.poscobioventures.com/,"1588 glencrest drive
 san marcos, ca 92078
 united states",92078,NaN,NaN,jgoag@poscobioventures.com,,"therapeutics,diagnostics","early stage venture, late stage venture",NaN,NaN,NaN,15,36.778259,-119.417931,ca
north america,usa,west,california,presence capital,2015,venture capital,http://www.presencecap.com/,"san francisco, ca 
 
 united states",NaN,https://www.linkedin.com/in/amittmahajan,NaN,hello@presencecap.com,,"virtual reality,augmented reality","early stage, start ups",700000,120000000,274070000,40,36.778259,-119.417931,ca
north america,usa,west,california,"presidio venture partners, llc",2015,private equity firm,http://presidiopartners.com/,"101 montgomery street
 suite 2500
 san francisco, ca 94104-4139
 united states",94104,https://www.linkedin.com/company/presidio-partners,(+1)415-352-1520,NaN,,"capital raising,advisory,investment management services to real estate and real estaterelated market",NaN,7500000,50000000,178000000,8,36.778259,-119.417931,ca
north america,usa,west,california,presidio ventures,1998,venture capital,www.presidiopartners.com,"3979 freedom circle
 suite 340
 santa clara, ca 95054
 united states",95054,https://www.linkedin.com/company/presidio-investors/,(+1) 408-845-9458,NaN,,"management buyouts acquisitions,mergers,recapitalizations restructuring",NaN,3000000,15000000,284000000,12,36.778259,-119.417931,ca
north america,usa,west,california,propel partners,,private equity firm,http://www.propelpartners.com/,"385 homer avenue
 palo alto, ca 94301
 united states",94301,NaN,(+1)650-322-2800,NaN,,"investment pacing,industry concentration,real estate industries",NaN,NaN,NaN,NaN,NaN,36.778259,-119.417931,ca
north america,usa,west,california,prospect venture partners,,private equity firm,http://www.prospectventurepartners.com/,"435 tasso street
 suite 200
 palo alto, ca 94301
 united states",94301,NaN,(+1)650- 327- 8800,admin@prospectventures.com,,"lifescience,health sector",all,1000000,250000000,NaN,76,36.778259,-119.417931,ca
north america,united states of america,west,california,qualcomm ventures,2000,private,http://www.qualcommventures.com/,"5775 morehouse drive
san diego, ca 92121
 ",92121,https://in.linkedin.com/company/qualcomm-ventures,(+1) 858-587-1121,NaN,,software,"seed , early stage, startups, growth stage",88000,793500000,6400000000,303,36.778259,-119.417931,ca
north america,usa,west,california,quicksilver ventures,,private equity firm,http://quicksilverventures.com/,"14375 saratoga avenue
 suite 104
 saratoga, ca 95070
 united states",95070,NaN,(+1)408-865-0685,NaN,,"video and imaging,networking and mobility,data management,services and security,",growth stage,4000000,20000000,75000000,6,36.778259,-119.417931,ca
north america,usa,west,california,recruit strategic partners,2008,venture capital,http://recruitstrategicpartners.com/,"1900 south norfolk street
 suite 355
 san mateo, ca 94403
 united states",94403,https://www.linkedin.com/company/recruit-strategic-partners/,NaN,NaN,,NaN,early stage,10000,6000000,42250000,39,36.778259,-119.417931,ca
north america,usa,west,california,red point ventures,1999,private firm,https://redpoint.com,3000 sand hill road building 2 suite 290 menlo park ca 94025,94025,https://in.linkedin.com/company/redpointventures,(+1)650-926-5600,NaN,,"cloud,saas,healthcare,infstructure,it,",all,100000,150000000,1600000000,534,36.778259,-119.417931,ca
north america,usa,west,california,red rock ventures,1997,venture capital,http://www.redrockventures.com/,"530 lytto
 2nd floor
 palo alto, ca 94301
 
 united states",94301,NaN,(+1)650-325-3111,NaN,,"information technology,enterprice software","seed, early stage, start-ups",4000000,65000000,NaN,52,36.778259,-119.417931,ca
north america,united states of america,west,california,redpoint ventures,1999,private,http://redpoint.com/,"3000 sand hill road
building 2
suite 290
menlo park, ca 94025
 ",94025,https://www.linkedin.com/company/redpointventures/,(+1) 650-926-5600,NaN,,"consumer media,infrastructure,digital media,cloud computing,enterprise cloud,ecommerce,mobile wireless platforms and applications","seed , startups, early stage, growth stage, later/mature stage",400000,300000000,12000000000,540,36.778259,-119.417931,ca
north america,usa,west,california,redwood venture partners,1997,private equity firm,http://www.redwoodvp.com/,"4984 el camino real
 suite 200
 los altos, ca 94022
 united states",94022,NaN,(+1)650-335-1111,info@redwoodadv.com,,information technology,late/mature stage,3000000,26000000,175000000,16,36.778259,-119.417931,ca
north america,united states of america,west,california,relay ventures,2010,private,http://relayventures.com/,"bay adelaide centre, 333 bay st #1130, toronto, on m5h 2r2, canada",NaN,https://www.linkedin.com/company/relay-ventures/?originalsubdomain=in,(+1) 416-367-2440,NaN,,"mobile,software,advertising","startups, early stage, later/mature stage, growth stage",123000,61000000,1290000000,135,36.778259,-119.417931,ca
north america,usa,west,california,rembrandt venture partners,2004,private equity firm,http://www.rembrandtvc.com/,"transamerica pyramid
 600 montgomery street
 44th floor
 san francisco, ca 94111
 united states",94111,https://www.linkedin.com/company/121683?trk=tyah&trkinfo=clickedvertical%3acompany%2cclickedentityid%3a121683%2cidx%3a1-1-1%2ctarid%3a1442949066541%2ctas%3arembrandt%20venture%20partners,(+1)415-528-2900,inquiries@rembrandtvc.com,,"internet infrastructure,enterprise infrastructure,application software delivered as a service,hardware,",all,342000,50000000,NaN,136,36.778259,-119.417931,ca
north america,usa,west,california,resolute venture,2012,venture capital,http://www.resolute.vc/,"san francisco, ca 

united states",NaN,http://resoluteventurepartners.com/,(+1) 615-320-3070,info@resoluteventurepartners.com,,"consumer                                                                                                                                                                                                                                                                                                                                     ,mobile internet                                                                                                                                                                                                                                                                                                                                ,ecommerce,financial service/technology,saas sectors","early stage
seed",500000,NaN,NaN,79,36.778259,-119.417931,ca
north america,united states of america,west,california,revolution,2005,private,http://www.revolution.com/,"260 california street, suite 801, san francisco, ca 94111",94111,https://www.linkedin.com/company/revolution-llc/?originalsubdomain=in,(+1) 202-776-1400,NaN,,software,growth stage,300000,200000000,2300000000,87,36.778259,-119.417931,ca
north america,usa,west,california,ribbit capital,2012,venture capital,http://ribbitcap.com/,"364 university avenue
 palo alto, ca 94301
 united states",94301,NaN,NaN,NaN,,"management buyouts,acquisitions,mergers,recapitalizations,restructuring","early , late stage",5000000,200000000,885500000,24,36.778259,-119.417931,ca
north america,united states of america,northeast,california,ridge ventures,2010,private,https://ridge.vc/,"1860 el camino real
suite 200
burlingame, ca 94010
 ",94010,https://in.linkedin.com/company/idg-ventures-usa,(+1) 650-652-1500,info@ridge.vc,,"information technology,new media,healthcare","seed , early stage, startups",650000,400000000,1200000000,96,36.778259,-119.417931,ca
north america,united states of america,west,california,ridgewood capital,1998,private firm,http://www.ridgewoodcapital.com/,"14 philips parkway
 montvale, nj 07645
 united states",7645,NaN,NaN,NaN,,energy technology,"early stage venture, late stage venture",5000000,50000000,3000000000,43,36.778259,-119.417931,ca
north america,usa,west,california,right side capital management,,private firm,http://rightsidecapital.com/,649  mission st san francisco ca 94105,94105,https://www.linkedin.com/company/right-side-capital-management/,(+1)415-655-4965,admin@rightsidecapital.com,,"biomedicaltechnology,saas",startups,50000,1000000,NaN,746,36.778259,-119.417931,ca
north america,united states of america,west,california,rincon venture partners,2005,venture capital,http://www.rinconvp.com/,"803 chapala street
santa barbara, ca ",93101,NaN,(+1)805-969-5484 ,NaN,,"finance,financial services,venture capital","early stage venture
late stage venture
seed ",700000,25000000,433500000,72,36.778259,-119.417931,ca
north america,usa,western,california,riverwood capital,2007,private equity firm,www.riverwoodcapital.com,"70 willow road
suite 100
menlo park, ca 94025
",94025,https://www.linkedin.com/company/riverwood-capital,(+1)-212-835-2490,info@rwcm.com,,"technology,electronics systems and components,hardware,semiconductors,software,enterprise,it services",late stage,100000000,500000000,2000000000,2,36.778259,-119.417931,ca
north america,usa,west,california,rocket ventures,2007,angel group,http://www.rocketventures.org/,"2200 sand hill road
 suite 240
 menlo park, ca 94025
 united states",94025,NaN,(+1)877-638-3538,NaN,,"devices,consumer services,mobile technology,digital media,information technology",seed,5000,92000000,183300000,27,36.778259,-119.417931,ca
north america,usa,west,california,rockport capital partners,1998,private equity firm,http://www.rockportcap.com/,"539 bryant street
 suite 306
 san francisco, ca 94107
 united states",94107,http://www.linkedin.com/company/rockport-capital-partners,(+1) 415-780-9900,NaN,,"energy,mobility,sustainability",all,1000000,220000000,NaN,98,36.778259,-119.417931,ca
north america,usa,west,california,rosewood capital,1985,private equity firm,http://www.rosewoodcap.com/,"985 moraga road
 suite 203
 san francisco, ca 94549
 united states",94549,NaN,(+1)415-362-5526,NaN,,"consumer products and services,retail,restaurants,outsourced business services,financial services",NaN,10000000,10000000,10000000,1,36.778259,-119.417931,ca
north america,usa,west,california,rothenberg ventures,2012,private firm,rothenbergventures.com,"1062 folsom street,san francisco
ca",NaN,https://www.linkedin.com/company/rothenberg-ventures/,NaN,NaN,,technology,"early stage venture,
 seed",200000,24000000,79600000,106,36.778259,-119.417931,ca
north america,usa,west,california,rubicon venture capital,2013,venture capital,http://www.rubicon.vc/,"44 tehama street
san francisco, ca 94105
united states",94105,http://www.linkedin.com/company/rubicon-venture-capital,NaN,"
joshua@rubicon.vc",,"internet,software businesses","early stage
seed",NaN,NaN,150000000,NaN,36.778259,-119.417931,ca
north america,usa,west,california,runa capital,2010,venture capital,http://www.runacap.com/,"office #306
 459 hamilton avenue
 palo alto, ca 94301
 united states",94301,http://www.linkedin.com/company/runa-capital,(+1)650-644-1122,info@runacap.com,,"opensource infrastructure,artificial intelligence,ar/vr,software",early stage,500000,65000000,NaN,80,36.778259,-119.417931,ca
