Continent,Country,Region,State,Name of VC,Year of Establishment,Type of Investor,Website,Postal Address,Pincode,LinkedIn Details,Phone Details,Email Address,Sectors dealt with,Investment Stage,Investment Amount Minimum,Investment Amount Maximum,Previously Invested Total Amount,Total number of companies funded so far,Latitude,Longitude,Code ,
North America,USA,West,California,Greenoaks Capital Partners,2010,Venture Capital,http://www.greenoakscap.com/,"535 Pacific Avenue
 4th Floor
 San Francisco, CA 94133
 United States",94133,,(+1)415-805-8922,webmaster@greenoakscap.com,Financial Services,"Early stage, Late Stage",15M,700M,2.5B,18,36.778259,-119.417931,CA,
North America,United States of America,west,California,Greenspring Associates,2000,Private Firm,http://www.greenspringassociates.com/,"100 Painters Mill Road
 Suite 700
 Owings Mills, MD 21117
 United States",21117,https://www.linkedin.com/company/greenspring-associates_909296/,(+1) 410-363-2725,info@gspring.com,"life sciences, 
 biotechnology,
 healthcare","Early Stage Venture, Late Stage Venture",,,1.7B,120,36.778259,-119.417931,CA,
North America,United States of America,West,California,Greylock,1965,Private Firm,http://www.greylock.com/,"2550 Sand Hill Road
 Suite 200
 Menlo Park, CA 94025
 
 United States",94025,https://www.linkedin.com/company/greylock-partners/,(+1) 650-493-5525,press@greylock.com,consumer sectors,"Early Stage Venture, Late Stage Venture",1M,200M,3.1B,634,36.778259,-119.417931,CA,
North America,United States of America,West,California,Greylock Partners,1965,Private,http://greylock.com/,"2550 Sand Hill Road
Suite 200
Menlo Park, CA 94025
 ",94025,https://in.linkedin.com/company/greylock-partners,(+1) 650-493-5525,press@greylock.com,"Consumer,
Enterprise Software, 
Venture Capital","Seed , Startups, Early Stage, Growth Stage, Later/Mature Stage",0.1M,950M,13.2B,634,36.778259,-119.417931,CA,
North America,United States of America,west,California,GRP Partners,2001,Private Firm,http://www.grpvc.com/,,,https://www.linkedin.com/company/global-reach-partners-ltd/,,,,,,,,,36.778259,-119.417931,CA,
North America,USA,West,California,Gryphon Investors,1995,Private Equity Firm,http://www.gryphon-inv.com/,"1 Maritime Plaza
 Suite 2300
 San Francisco, CA 94111
 United States",94111,https://www.linkedin.com/company/1353256?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A1353256%2Cidx%3A1-1-1%2CtarId%3A1439916617369%2Ctas%3AGryphon%20Investors,(+1)415-217-7400,info@gryphoninvestors.com,"buyouts,
 leveraged build-ups and acquisitions,
 bridge, 
 growth capital investments",,,,,1,36.778259,-119.417931,CA,
North America,United States of America,west,California,Guidant Corporation,1994,Private Firm,www.guidant.com,"111 Monument Circle
 29th Floor
 Indianapolis, IN 46204-5129
 United States",5129,,(+1) 317-971-2000,,Medical devices,,,,,8,36.778259,-119.417931,CA,
North America,USA,West,California,GV,2008,Venture Capital,http://www.gv.com/,"1600 Amphitheatre Parkway
 Mountain View
 Mountain View, CA 94043
 United States",94063,https://www.linkedin.com/company-beta/7323339/,,,"life science
 , health,
 consumer, 
 mobile, 
 commerce, 
 enterprise industries.",All,5M,135M,,559,36.778259,-119.417931,CA,
North America,USA,West,California,Hackman Capital,1987,Private Equity Firm,http://www.hackmancapital.com/,"11111 Santa Monica Boulevard, Suite 1100
 Los Angeles CA 90025
 United States",90025,,(+1)310-473-8900,contact@hackmancapital.com,Real Estate,,,,,,36.778259,-119.417931,CA,
North America,USA,West,California,"Hambrecht & Quist Capital Management, LLC",1968,Private Equity Firm,http://www.hqcm.com/,"One Bush Street
 
 San Francisco, CA 94104
 
 United States",94104,https://www.linkedin.com/company/ait,,info@teklacap.com,Financial Service,All,5M,100M,,40,36.778259,-119.417931,CA,
North America,United States of America,west,California,"Hamilton Apex Ventures, LP",1987,Private Firm,http://www.hamiltonventures.com/,"440 North Wells Street
 Suite 420
 Chicago, IL 60654
 United States",60654,https://www.linkedin.com/company/apex-venture-partners/,1-312-857-2800,apex@apexvc.com,information technology,"Early Stage Venture, Late Stage Venture",0.2M,6M,,83,36.778259,-119.417931,CA,
North America,USA,West,California,Harris Barton asset Management,2011,Private Equity Firm,http://bartonam.com/,"135 Main Street
 Suite 850
 San Francisco, CA 94105
 United States",94105,,(+1)605-209-0226,info@bartonam.com,"investment management 
 advisory services",Early stage,2.2M,33M,92.2M,6,36.778259,-119.417931,CA,
North America,USA,West,California,Harrison metal,2008,Venture Capital,http://www.harrisonmetal.com/,"3660 Tripp Road
 Woodside, 94062
 California, United States",94062,https://www.linkedin.com/company/407168/,(+1) 650-714-8676,info@harrisonmetal.com,"Educatuon 
 software",Early Stage,1M,8M,,154,36.778259,-119.417931,CA,
North America,United States of America,west,California,Harrison Metal Capital,2008,Private,http://www.harrisonmetal.com/,"2430 3rd St, San Francisco, CA 94107, USA",94107,https://in.linkedin.com/company/harrison-metal,,info@harrisonmetal.com,Software,"Seed , Early Stage",0.225M,122.5M,1.2B,154,36.778259,-119.417931,CA,
North America,USA,West,California,Headland Ventures,2002,Private Equity Firm,http://www.headlandventures.com/,"2161 University Avenue
 Berkeley, CA 94704
 United States",94704,,(+1) 510-845-2453,,Bike Accessories,Early Stage,12M,20M,46.5M,3,36.778259,-119.417931,CA,
North America,USA,west,california,HealthQuest Capital,2013,Private Firm,http://www.healthquestcapital.com,"1301 Shoreway Rd, Suite 350 Belmont",94002,https://www.linkedin.com/company/3610633/,,,heathcare,,3M,42M,344M,19,36.778259,-119.417931,CA,
North America,USA,West,California,Hellman & Friedman LLC,1984,Private Equity Firm,http://hf.com/,"1 Maritime Plaza
 12th Floor
 San Francisco, CA 94111
 United States",94111,https://www.linkedin.com/company/28202/,(+1)415-788-5111,info@hf.com,"portfolio management,
 advisory,",,8.6M,900M,943.6M,4,36.778259,-119.417931,CA,
North America,USA,West,California,"Hercules Tech Growth Capital, Inc.",2003,,http://www.htgc.com/,"400 Hamilton Avenue
 Suite 310
 Palo Alto, CA 94301
 
 United States",94301,https://www.linkedin.com/company-beta/350169/,(+1)650-289-3060,info@htgc.com,"Commercial lending
 financial Service",All,2M,100M,,93,36.778259,-119.417931,CA,
North America,United States of America,west,California,"Hercules Technology Growth Capital, Inc",2003,Private Firm,http://www.herculestech.com/,"400 Hamilton Avenue
 Suite 310
 Palo Alto, CA 94301
 
 United States",94301,https://www.linkedin.com/company-beta/350169/,(+1) 650-289-3060,info@htgc.com,"electronics, 
 healthcare services","Early Stage Venture, Late Stage Venture",3M,200M,,95,36.778259,-119.417931,CA,
North America,USA,west,california,"Highland Capital
 Partners",1988,Private Firm,http://www.hcp.com,"One Broadway, 16th Floor
cambridge,Massachusetts",2142,,(+1) 650-687-3800,,"Consumer,
Healthcare,
 Info & Comm
Technology and
 Internet","Early Stage Venture,
 Late Stage Venture,
 Seed",70K,280.2M,3B,400,36.778259,-119.417931,CA,
North America,USA,West,California,Horizon Ventures,1999,Private Equity Firm,http://www.horizonvc.com/,"4 Main Street
 Suite 20
 Los Altos, CA 94022
 United States",94022,,(+1)650-917-4100,postmaster@horizonvc.com,"communications, 
 component technologies,
 health care information technology,
 business software application sectors.","Early Stage, startups",650K,75M,501M,42,36.778259,-119.417931,CA,
North America,USA,west,california,"Hummer Winblad
 Venture Partners",1989,Private Firm,hwvp.com,"Pier 33 South, The Embarcadero Suite 300 San Francisco,",94111,https://www.linkedin.com/company/hummer-winblad-venture-partners/?originalSubdomain=in,(+1) 415- 979-9600,,"software
Finance,
 Financial Services",Early Stage Venture,1M,100M,,199,36.778259,-119.417931,CA,
North America,USA,West,California,Hummer Winblad Venture Partners,1989,Partners,https://hwvp.com,the embarcadero pier 33 south suites 200 CA 94111,94111,https://www.linkedin.com/company/hummer-winblad-venture-partners,(+1)415-979-9600,,"software,
embedded,
network,
telecommunication",Early Stage,0.1M,128M,1.77B,199,36.778259,-119.417931,CA,
North America,United States of America,West,California,Hummer Winblad Venture Partners,1989,,http://www.humwin.com/,"The Embarcadero, Pier 33 South
 Suites 200
 San Francisco, CA 94111
 United States",94111,https://www.linkedin.com/company/hummer-winblad-venture-partners/,(+1) 415-979-9600,,telecommunications software,Early Stage Venture,0.1M,5M,1.2B,199,36.778259,-119.417931,CA,
North America,USA,West,California,I/o Ventures,2010,Venture Capital,http://www.ventures.io/,"San Francisco, CA 
 
 United States",,,,info@ventures.io,"web services, 
 client software,
 digital media,
 gaming","Seed, start-ups",590K,12.1M,21M,21,36.778259,-119.417931,CA,
North America,United States of America,North East,California,IBM Venture Capital Group,2000,Private Equity Firm,http://www.us.ibm.com/,"2929 Campus Drive
 
 San Mateo, CA 94403
 
 United States",94403,https://www.linkedin.com/company/ibm,(+1)408-239-6130,ventures@us.ibm.com,,"Early, Late stage",5M,60M,265.2M,10,36.778259,-119.417931,CA,
North America,USA,West,California,"ICCP Venture Partners, Inc.",1988,Private Equity Firm,http://www.iccpventurepartners.com/,"535 Middlefield Road
 Suite 280
 Menlo Park, CA 94025
 United States",94025,,(+1)650-323-2800,information@iccpventurepartners.com,"technology,
 manufacturing,
 software development, 
 consumer products",Early Stage,1M,26M,85M,7,36.778259,-119.417931,CA,
North America,USA,West,California,Icon Ventures,2003,Venture Capital,http://www.iconventures.com/,"505 Hamilton Avenue
 Suite 310
 Palo Alto, CA 94301
 United States",94301,https://www.linkedin.com/company/icon-ventures?trk=company_logo,(+1)650-463-8800,info@iconventures.com,"consumer internet
 , digital media,
 enterprise software, 
 cloud computing,
 mobile applications,
 security,
 and semiconductor components",All,1M,50M,,179,36.778259,-119.417931,CA,
North America,United States of America,West,California,IDG Ventures ,2007,Private,http://www.idgvusa.com/,"1 Letterman Drive
Building D, Suite P100
San Francisco, CA 94129
 ",94129,https://www.linkedin.com/company/idg-ventures-usa/?originalSubdomain=in,(+1) 415-439-4420,plans@idgventures.com,"Media, 
 nterprise 
 IT and 
consumer",,0.15M,65M,976M,96,36.778259,-119.417931,CA,
North America,United States of America,West,California,IGNITE Group,1997,Private Firm,,"255 Shoreline Drive
 Suite 510
 Redwood City, CA 94065
 United States",94065,,(+1) 650-622-2000,info@ignitegroup.com,"networking, 
 software sectors.","Early Stage Venture, Late Stage Venture",,,,21,36.778259,-119.417931,CA,
North America,USA,west,california,InCube Ventures LLC,2010,Private Firm,https://www.incubevc.com,"2051 Ringwood Ave, San Jose",95131,https://www.linkedin.com/company/incube-ventures/?originalSubdomain=in,(+1) 408- 457-3700,contact@incubevc.com,heathcare,"Early Stage Venture, 
Late Stage Venture",2.3M,30M,147.4M,12,36.778259,-119.417931,CA,
North America,USA,West,California,Incubic Venture fund,,Venture Capital,http://www.incubic.com/,"26228 Scarff Way
 Los Altos Hills, CA 94022
 United States",94022,,(+1)650-279-2489,ncolella@incubic.com,physical and life sciences,"Seed. Early stage, start ups",1.2M,20M,96M,13,36.778259,-119.417931,CA,
North America,USA,West,California,Index Ventures,1996,Venture Capital,http://www.indexventures.com/,"139 Townsend St, San Francisco, CA 94107, USA",94107,http://www.linkedin.com/company/index-ventures,(+1 ) 415-471-1700,,"Saas 
 E-commerce 
 Big data 
 e-commerce",All,1M,100M,,620,36.778259,-119.417931,CA,
North America,USA,West,California,Industrial Growth Partners,1997,Private Equity Firm,http://www.igpequity.com/,"101 Mission Street
 Suite 1500
 San Francisco, CA 94105
 United States",94105,,(+1)415-882-4550,dh@igpequity.com,Financial services,,,,,,36.778259,-119.417931,CA,
North America,USA,West,California,Industry Ventures,2000,Venture Capital,http://www.industryventures.com/,"30 Hotaling Place
 3rd Floor
 San Francisco, CA 94111
 United States",94111,https://www.linkedin.com/company/55507?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A55507%2Cidx%3A1-1-1%2CtarId%3A1439854951076%2Ctas%3AIndustry%20Ventures,(+1)415-273-4201,info@industryventures.com,"Internet,
 business services,
 networking equipment,
 gaming,",Early Stage,1.5M,158M,,70,36.778259,-119.417931,CA,
North America,USA,,California,infinity capital llc,2006,Private Firm,http://www.infinitycap.co/,480 cowper street suite 200 palo alto CA 94301,94301,https://www.linkedin.com/company/infinity-capital-funding-inc/,(+1)877-422-7501,infinitycapitalonline@gmail.com,technology,Startups,,,,,36.778259,-119.417931,CA,
North America,USA,west,california,Initialized Capital,2011,Private Firm,http://initialized.com,"San Francisco, CA",,https://www.linkedin.com/company/initialized-capital/,,"contact@initiali
zed.com","Mobile, 
Software
Design","Early Stage Venture, 
Seed",250K,400M,,67,36.778259,-119.417931,CA,
North America,USA,West,California,InnoCal Venture Capital,,Venture Capital,http://www.innocal.com/,"650 Town Center Drive
 Center Tower, Suite 770
 Costa Mesa, CA 92626
 United States",92626,,(+1)714-850-6784,,"software and internet
 , wireless technology and applications, 
 semiconductors and components, 
 healthcare, 
 information technology.",Early Stage,3M,50M,250.8M,30,36.778259,-119.417931,CA,
North America,United States of America,west,California,Institutional Venture Partners,1980,Private Firm,http://www.ivp.com/,"3000 Sand Hill Road
 Building 2, Suite 250
 Menlo Park, CA 94025
 United States",94025,https://www.linkedin.com/company/institutional-venture-partners-ivp/,(+1) 650-854-0132,pr@ivp.com,"consumer, 
 enterprise sectors","Late Stage Venture, Private Equity",,,6.2B,241,36.778259,-119.417931,CA,
North America,USA,West,California,Integral Capital Partners,1991,Venture Capital,http://www.icp.com/,"2750 Sand Hill Road
 Menlo Park, CA 94025
 United States",94025,,(+1)650-233-0360,,"life sciences
 , health care
 information systems,","Early, growth stage",2M,70M,,94,36.778259,-119.417931,CA,
North America,USA,west,california,intel capital,1991,Private Firm,http://www.intelcapital.com,2200 Mission College Blvd.,,https://www.linkedin.com/showcase/intel-capital/?originalSubdomain=in,(+1) 408- 765-8080,mimi.li@intel.com,"Cleantech, 
Computing,
 Consumer Internet,
 Digital Home and Digital Media, 
Manufacturing and Memory, 
Mobility",seed,5M,102M,9.8B,1247,36.778259,-119.417931,CA,
North America,United States of America,west,California,Intel Capital,1991,Private Firm,http://www.intel.com/,"2200 Mission College Boulevard, RN6-37
 Santa Clara, CA 95052-8119
 United States",95052,https://www.linkedin.com/showcase/intelcapital/,(+1) 408-765-8080,mimi.li@intel.com,Internet of Things (IoT),Seed,300M,500M,1.3B,1246,36.778259,-119.417931,CA,
North America,USA,,California,interwest partners,1979,Private Firm,http://www.interwest.com/,2710 sand hill road suite 200 menlo park CA 94025,94025,https://www.linkedin.com/company/interwest-partners/,(+1)650-854-4706,info@interwest.com,biotechnology,All,1.5M,155M,2.98B,390,36.778259,-119.417931,CA,
North America,United States of America,west,California,InterWest Partners,1979,Private Firm,http://www.interwest.com/,"2710 Sand Hill Road
 Suite 200
 Menlo Park, CA 94025
 United States",94025,https://www.linkedin.com/company/interwest-partners/,(+1) 650-854-4706,info@interwest.com,"information technology, 
 mobile, 
 social, 
 analytical applications","Early Stage Venture, Late Stage Venture",2M,25M,650M,391,36.778259,-119.417931,CA,
North America,USA,West,California,Inventus Capital Partners,2007,Venture Capital,http://www.inventuscap.com/,"400 South El Camino Real
 Suite 700
 San Mateo, CA 94402
 United States",94402,http://www.linkedin.com/company/inventus-capital-partners,(+1) 650-292-2530,jk@inventuscap.com,"embedded software business, 
 software as a service,
 software products,
 , cloud technology, 
 digital services businesses,
 technology enabled services",All,210K,26M,,68,36.778259,-119.417931,CA,
North America,USA,West,California,Investors'​ Circle,1992,Private Equity Firm,http://www.investorscircle.net/,"165 11th Street
 San Francisco, CA 94103
 United States",94103,http://www.linkedin.com/company/investors'-circle,(+1)415-255-6844,,"agriculture,
 education,
 energy,
 financial,
 healthcare,
 software,
 consumer products",Early Stage,135K,1.7M,65M,7,36.778259,-119.417931,CA,
North America,USA,west,California,ITU ventures,2000,Private Firm,https://itu.com,13101 west washington boulevard suite 132 LA CA 90066,90066,,(+1)310-777-5900,,"semiconductor,
design,
wireless,
security,

software",Early Stage,0.1M,29.9M,297M,19,36.778259,-119.417931,CA,
North America,USA,West,California,IVP (Institutional Venture Partners),1988,Venture Capital,http://www.ivp.com/,"3000 Sand Hill Road
 Building 2, Suite 250
 Menlo Park, 94025
 California, United States",94025,http://www.linkedin.com/company/institutional-venture-partners-ivp,(+1) 650-854-0132,pr@ivp.com,"consumer 
 enterprise sectors.",Late/Mature Stage,5M,200M,,237,36.778259,-119.417931,CA,
North America,USA,west,california,"Jackson Square 
Ventures",2011,Private Firm,http://jsv.com,"727 Sansome St, San Francisco,",94111,https://www.linkedin.com/company/sigma-west/,(+1) 415-229-7100,info@jsv.com,SaaS and marketplace ,"Early Stage Venture, 
Private Equity, 
Seed",300K,52M,,48,36.778259,-119.417931,CA,
North America,United States of America,west,California,JAFCO Ventures,2003,Private Firm,http://www.jafco.com/,,,https://www.linkedin.com/company/icon-ventures/?trk=company_logo,(+1) 650-463-8800,info@iconventures.com,"Cloud Computing, 
 Digital Media, 
 Mobile, 
 Security","Early Stage Venture, Late Stage Venture",,,625M,178,36.778259,-119.417931,CA,
North America,USA,west,California,Jafco ventures(Icon ventures),2003,Private Firm,https://jafco.com,505 hamilton avenue palo alto CA 94301,94301,https://in.linkedin.com/company/icon-ventures,(+1)650-463-8800,info@iconventures.com,"cloud computing,
mobile,
security,
software",Early Stage,2M,75M,798.7M,179,36.778259,-119.417931,CA,
North America,USA,West,California,JAZZ Venture Partners,2015,Private Equity Firm,http://www.jazzvp.com/,"2339 3rd Street
 Suite 56
 San Francisco, CA 94107
 United States",94107,https://www.linkedin.com/company-beta/6584483/,(+1)415-279-7462,info@jazzvp.com,experiential technology in human performance,Early stage,2.1M,50M,190M,12,36.778259,-119.417931,CA,
north america,USA,West,california,Jumpstart Ventures,2011,Venture Capital,www.jumpstartventures.com,"642 Church Street
San Francisco, CA 94114
United States",94114,https://in.linkedin.com/company/jumpstart-inc-,(+1) 415-235-5111,"
partners@jumpstart.vc","E-Commerce
Enterprise
Software","
Debt
Early Stage
Late Stage
Seed",1.1M,30M,0.158B,47,36.778259,-119.417931,CA,
North America,USA,West,California,K2 Global,,Venture Capital,http://www.k2globalvc.com/,"San Francisco, CA 
 
 United States",,https://www.linkedin.com/company/k2-global,,investorrelations@k2globalvc.com,"software
 , Internet 
 mobile",all,32.5M,542M,1.1B,4,36.778259,-119.417931,CA,
North America,United States of America,west,California,Kaiser Permanente,1945,Private Firm,http://www.kpventures.net/,"1 Kaiser Plaza, 19th floor
 Oakland, CA 94612
 United States",94612,https://www.linkedin.com/company/kaiser-permanente/,(+1) 510-271-5953,share@kp.org,"Biotechnology, 
 Health Care, 
 Health Diagnostics",,,,,2,36.778259,-119.417931,CA,
North America,USA,West,California,Kaiser Pernamente,1945,Private Equity Firm,http://www.kaiserpermanente.org/,"4460 Hacienda Drive
 Building A, 3rd Floor
 Pleasanton, CA 94588
 United States",94588,http://www.linkedin.com/company/kaiser-permanente,(+1)925-737-2276,share@kp.org,Healthcare,Early Stage,10M,10M,20M,2,36.778259,-119.417931,CA,
North America,USA,West,California,Kapor Capital,1999,Private Equity Firm,http://www.kaporcapital.com/,"2201 Broadway
 Suite 725
 Oakland, CA 94612
 United States",94612,http://www.linkedin.com/company/kapor-capital,,info@kaporcapital.com,"education,
 work,
 finance, 
 justice,
 food,
 health sectors",All,1M,111M,,175,36.778259,-119.417931,CA,
north america,USA,West,california,Karlin Ventures,2013,Venture Capital,"www.karlinvc.com
","11755 Wilshire Blvd, Ste 1400 
90025 Los Angeles, California",90025,https://in.linkedin.com/company/karlin-ventures,(+1) 310-806-9700,"
info@karlinvc.com","education technology
enterprise software
e-commerce
digital media
healthcare
financial services
consumer goods ","Early Stage
Seed",0.25M,2M,,,36.778259,-119.417931,CA,
North America,USA,west,california,Keiretsu Forum,2000,Private Firm,http://www.keiretsuforum.com,,,https://www.linkedin.com/company/keiretsu-forum/?originalSubdomain=in,,info@keiretsuforum.com,"Angel Investment, 
, Fundraising,
 Education","Debt, Early Stage Venture,
 Late Stage Venture, 
Seed",394K,17.5M,,71,36.778259,-119.417931,CA,
North America,USA,West,California,"Kenson Ventures, LLC",1999,Venture Capital,http://www.kensonventures.com/,"401 Florence Street
 Suite 200
 Palo Alto, CA 94301
 United States",94301,,(+1)650-330-0322,,"Biotechnology,
 life science technologies,",,22M,22M,22M,1,36.778259,-119.417931,CA,
North America,USA,west,California,khosla venture,2004,Private Firm,https://www.khoslaventures.com/,2128 sand hill road menlo park CA 94025,94025,https://www.linkedin.com/company/khosla-ventures/,(+1)650-376-8500,josh@khoslaventures.com,"semiconductor
,internet,
mobile,
computing",All,200K,200M,4.5B,579,36.778259,-119.417931,CA,
North America,United States of America,west,California,Khosla Ventures,2004,Private,http://khoslaventures.com/,"2128 Sand Hill Road
Menlo Park, CA 94025
 ",94025,https://in.linkedin.com/company/khosla-ventures,(+1) 650-376-8500,jobs@khoslaventures.com,"Health Care, 
Mobile, 
Venture Capital","Growth Stage, Private Equity, Seed , Early Stage, Later/Mature Stage",0.12M,500M,14.2B,584,36.778259,-119.417931,CA,
North America,United States of America,west,California,Kleiner Perkins Caufield & Byers,1972,Private Firm,http://www.kpcb.com/,"2750 Sand Hill Road
 Menlo Park, CA 94025
 United States",94025,https://www.linkedin.com/company/kleiner-perkins-caufield-&-byers/,(+1) 650-233-2750,plans@kpcb.com,"biotechnology, 
 medical, 
 information technology","Early Stage Venture, Late Stage Venture",1M,75M,2.7B,1030,36.778259,-119.417931,CA,
North America,United States of America,west,California,Kleiner Perkins Caufield & Byers LLC,1972,Private,http://www.kpcb.com/,"2750 Sand Hill Road
Menlo Park, CA 94025
",94025,https://www.linkedin.com/company/36213,(+1) 650-233-0300,plans@kpcb.com,"digital,
life sciences, 
healthcare 
industries","Early Stage, Growth Stage",0.02M,1500M,33.1B,1029,36.778259,-119.417931,CA,
North America,USA,west,california,Kleiners,1972,Private Firm,www.kpcb.com,"Sand Hill Road, Menlo Park, California",94025,https://www.linkedin.com/company/kleiner-perkins-caufield-&-byers/,(+1) 650-233-2750,plans@kpcb.com,"technology 
 life sciences","Debt, Early Stage Venture,
 Late Stage Venture, 
Private Equity,
 Seed",1.5M,400M,,1027,36.778259,-119.417931,CA,
North America,United States of America,west,California,Kline Hawkes & Co.,1994,Private Firm,http://www.klinehawkes.com/,"11726 San Vicente Boulevard
 Suite 300
 Los Angeles, CA 90049
 United States",90049,,(+1)310-826-2255,Info@klinehawkes.com,information technology,Early Stage Venture,2M,75M,,14,36.778259,-119.417931,CA,
North America,USA,West,California,KLM Capital Group,,Private Equity Firm,http://www.klmtech.com/,"3080 Olcott Street
 Suite 205C
 Santa Clara, CA 95054
 United States",95054,,(+1)408-970-8888,info@klmcapital.com,"Communications, 
 information technology",Early Stage,3.3M,83M,190M,10,36.778259,-119.417931,CA,
North America,United States of America,West,California,KPCB,1972,Venture Capital,http://www.kpcb.com/,"101 South Park Street
San Francisco, CA ",94107,http://www.linkedin.com/compaNew York/36213,(+1)650-233-2750,,"Finance
Financial Services
Venture Capital ","Debt
Early Stage Venture
Private Equity
Seed ",180K,10M,49.38M,19,36.778259,-119.417931,CA,
North America,USA,West,California,KT Venture Group,2000,Private Equity Firm,http://www.ktventuregroup.com/,"1 Technology Drive
 Milpitas, CA 95035
 United States",95035,,(+1)408-875-9800,concina@ktventuregroup.com,Semiconductor equiments,Growth Stage,3M,100M,280M,16,36.778259,-119.417931,CA,
North America,USA,West,California,KTB Ventures,1981,Private Equity Firm,http://www.ktbvc.com/,"1 Calfornia Street
 Suite 2800
 San Francisco, CA 94111
 United States",94111,,(+1)650 -324- 4681,info@ktbvc.com,"information technology
 communication",,3M,90M,643.7M,37,36.778259,-119.417931,CA,
North America,USA,West,California,Labrador Ventures,2000,Private Equity Firm,http://www.labrador.com/,"535 Middlefield Road
 Suite 190
 Menlo Park, CA 94025
 United State",94025,,(+1)650-366-6000,businessplans@labrador.com,"internet services
 mobile, 
 security",Seed,300K,32M,,110,36.778259,-119.417931,CA,
North America,USA,West,California,"Lake Street Capital, LLC",2003,Private Equity Firm,http://www.lakestreetcapital.com/,"388 Market Street
 Suite 1300
 San Francisco, CA 94111
 United States",94111,,,,"management buy-outs
 , acquisitions,
 mergers, 
 recapitalizations,
 restructuring,.",Early Stage,5.3M,23M,70M,6,36.778259,-119.417931,CA,
North America,USA,West,California,Latteral Venture Partners,2001,Private Equity Firm,http://www.lvpcapital.com/,"455 Market Street
 Suite 2000
 San Ramon, CA 94583
 United States",94583,,(+1)925-242-2618,bob@lvpcapital.com,"healthcare
 biotechnology 
 pharmaceutical research.",Early Stage,1M,154M,840.4M,43,36.778259,-119.417931,CA,
North America,United States of America,west,California,Latterell Venture Partners,2001,Private Firm,http://www.lvpcapital.com/,"2603 Camino Ramon
 Suite 2000
 San Ramon, CA 94583
 United States",94583,,(+1) 925-242-2618,bob@lvpcapital.com,"healthcare companies, 
 biotechnology, 
 pharmaceutical, 
 medical technology","Early Stage Venture, Late Stage Venture",10M,20M,,43,36.778259,-119.417931,CA,
North America,USA,west,california,Lauder Partners,1986,Private Firm,http://www.lauderpartners.com/,atherton CA 94027,94027,https://www.linkedin.com/company/lauder-partners-llc/,(+1)650-323-5700,gary@lauderpartners.com,"IT,
security",Early Stage,1M,87M,440.8M,23,36.778259,-119.417931,CA,
North America,USA,West,California,"Lauder Partners, LLC",,Private Equity Firm,http://www.lauderpartners.com/,"88 Mercedes Lane
 Menlo Park, CA 94027-4036
 United States",94027,,(+1)650-323-5700,gary@lauderpartners.com,,Early Stage,1M,87M,310M,23,36.778259,-119.417931,CA,
North America,USA,West,California,LDR Ventures,2012,Private Equity Firm,http://www.ldrventures.com/,"2337 Roscomare Road
 Los Angeles, CA 90077
 United States",90077,,(+1)323-905-4537,info@ldrventures.com,"fashion
 , consumer lifestyle brands
 , e-commerce, 
 technology",Early stage,1.2M,32.8M,70M,9,36.778259,-119.417931,CA,
North America,USA,West,California,Leapfrog Ventures,1999,Private Equity Firm,http://www.leapfrogventures.com/,"830 Menlo Avenue
 Suite 100
 Menlo Park, CA 94025
 United States",94025,,(+1)650-926-9900,pete@leapfrogventures.com,"information technology,
 software,
 communications,
 wireless, 
 consumer sectors.",Early Stage,3.2M,32M,,446,36.778259,-119.417931,CA,
North America,USA,West,California,Learn Capital,2008,Venture Capital,http://www.learncapital.com/,"20 East 3rd Avenue
 
 San Mateo, CA 94401
 
 United States",94401,https://www.linkedin.com/in/tomvanderark,(+1) 866-336-2092,info@learncapital.com,technology education sectors.,Early Stage,50K,7M,,86,36.778259,-119.417931,CA,
North America,United States of America,west,California,Legacy Venture,1999,Private Firm,http://www.legacyventure.com/,"180 Lytton Avenue
 Palo Alto, CA 94301
 United States",94301,,(+1) 650-324-5980,info@legacyventure.com,Finance,Early Stage Venture,,,,,36.778259,-119.417931,CA,
North America,USA,west,california,lens venture,2015,Private Firm,http://www.lensventures.com,"San Francisco, CA",,https://www.linkedin.com/company/lens-ventures/?originalSubdomain=in,,,,Seed,,,,,36.778259,-119.417931,CA,
North America,USA,west,california,Levensohn Venture Partners,1996,Private Firm,http://www.levp.com/,1 embarcadero center 30th floor san francisco CA 94111,94111,https://www.linkedin.com/company/levensohn-venture-partners/,(+1)415-449-1005,,"Software,
technology,
healthcare,
e-commerce,
media,
biotech,
wireless",Early Stage,2M,49M,457.8M,35,36.778259,-119.417931,CA,
North America,United States of America,west,California,Levensohn Venture Partners,1996,Private Firm,http://www.levp.com/,"1 Embarcadero Center
 30th Floor
 San Francisco, CA 94111
 United States",94111,,(+1) 415 449-1005,,,Early Stage Venture,,,600M,35,36.778259,-119.417931,CA,
North America,USA,West,California,Light Speed Ventures Partners,2000,,http://lsvp.com/,"2200 Sand Hill Road
 Menlo Park, CA 94025",94025,http://www.linkedin.com/company/lightspeed-venture-partners,(+1) 650-234-8300,info@lsvp.com,"enterprise 
 consumer 
 big data 
 bitcoin 
 enterprise technology 
 cleantech 
 mobile 
 financial technology 
 cloud solutions 
 e-commerce 
 storage 
 media networking 
 software-as-a-service
 information technology",All,3M,60M,,625,36.778259,-119.417931,CA,
